place,activity_type,activity,activity_description,full_activity
south australia,Exploring Adelaide,Cultural Attractions," South Australia’s capital city, Adelaide, is known for its cultural venues such as the Art Gallery of South Australia, the South Australian Museum, and the Adelaide Festival Centre","Exploring Adelaide - Cultural Attractions -  South Australia’s capital city, Adelaide, is known for its cultural venues such as the Art Gallery of South Australia, the South Australian Museum, and the Adelaide Festival Centre"
south australia,Wine Regions,Barossa Valley," Known for its world-renowned wineries, this region offers wine tasting tours, gourmet food experiences, and picturesque vineyards","Wine Regions - Barossa Valley -  Known for its world-renowned wineries, this region offers wine tasting tours, gourmet food experiences, and picturesque vineyards"
south australia,Natural Wonders,Kangaroo Island," A wildlife haven located south of Adelaide, where you can see sea lions at Seal Bay, koalas at Hanson Bay Wildlife Sanctuary, and stunning coastal rock formations like the Remarkable Rocks","Natural Wonders - Kangaroo Island -  A wildlife haven located south of Adelaide, where you can see sea lions at Seal Bay, koalas at Hanson Bay Wildlife Sanctuary, and stunning coastal rock formations like the Remarkable Rocks"
south australia,Coastal Attractions,Glenelg Beach," Just a short tram ride from Adelaide, this popular beach destination boasts beautiful sandy shores, a bustling jetty road with shops and eateries, and opportunities for dolphin spotting","Coastal Attractions - Glenelg Beach -  Just a short tram ride from Adelaide, this popular beach destination boasts beautiful sandy shores, a bustling jetty road with shops and eateries, and opportunities for dolphin spotting"
south australia,Unique Experiences,Coober Pedy, This quirky underground town is famous for its opal mines,Unique Experiences - Coober Pedy -  This quirky underground town is famous for its opal mines
south australia,National Parks,Cleland Conservation Park," Located in the Adelaide Hills, this park allows visitors to get up close with native Australian wildlife such as kangaroos, koalas, and emus","National Parks - Cleland Conservation Park -  Located in the Adelaide Hills, this park allows visitors to get up close with native Australian wildlife such as kangaroos, koalas, and emus"
colorado,Rocky Mountain National Park,Hiking and Wildlife Viewing," Explore over 300 miles of hiking trails that weave through majestic mountains, alpine lakes, and dense forests","Rocky Mountain National Park - Hiking and Wildlife Viewing -  Explore over 300 miles of hiking trails that weave through majestic mountains, alpine lakes, and dense forests"
colorado,Denver,Museum and Culture," Visit the Denver Art Museum, the Museum of Nature and Science, and the historic Union Station","Denver - Museum and Culture -  Visit the Denver Art Museum, the Museum of Nature and Science, and the historic Union Station"
colorado,Ski Resorts,Aspen and Vail," These iconic ski towns boast world-class slopes, luxurious accommodations, and vibrant après-ski scenes","Ski Resorts - Aspen and Vail -  These iconic ski towns boast world-class slopes, luxurious accommodations, and vibrant après-ski scenes"
colorado,Great Sand Dunes National Park,Sandboarding and Sledding, Experience the thrill of sandboarding or sledding down the tallest sand dunes in North America,Great Sand Dunes National Park - Sandboarding and Sledding -  Experience the thrill of sandboarding or sledding down the tallest sand dunes in North America
colorado,Mesa Verde National Park,Ancient Cliff Dwellings, Explore the well-preserved ruins of cliff dwellings built by the Ancestral Puebloans,Mesa Verde National Park - Ancient Cliff Dwellings -  Explore the well-preserved ruins of cliff dwellings built by the Ancestral Puebloans
colorado,Durango & Silverton Narrow Gauge Railroad,Scenic Train Rides," Embark on a historic steam train journey through the rugged San Juan Mountains, offering stunning scenery and a glimpse into the area's mining heritage","Durango & Silverton Narrow Gauge Railroad - Scenic Train Rides -  Embark on a historic steam train journey through the rugged San Juan Mountains, offering stunning scenery and a glimpse into the area's mining heritage"
colorado,Red Rocks Amphitheatre,Live Music," Located near Morrison, Red Rocks is a natural, acoustically perfect amphitheater that hosts world-renowned musical acts","Red Rocks Amphitheatre - Live Music -  Located near Morrison, Red Rocks is a natural, acoustically perfect amphitheater that hosts world-renowned musical acts"
colorado,Pikes Peak and Garden of the Gods,Pikes Peak," Drive or hike to the summit of this iconic mountain for panoramic views that inspired the song ""America the Beautiful","Pikes Peak and Garden of the Gods - Pikes Peak -  Drive or hike to the summit of this iconic mountain for panoramic views that inspired the song ""America the Beautiful"
colorado,Hot Springs,Glenwood Springs, Relax in the world's largest hot springs pool or explore the nearby caverns and adventure park,Hot Springs - Glenwood Springs -  Relax in the world's largest hot springs pool or explore the nearby caverns and adventure park
